Rankthisweek value,Ranklastweek value,Playername link,Rounds number,Avg number,Total number,Totaldrives number
T49,T50,Scott Stallings,58,294,"34,109",116
52,T50,Jordan Spieth,52,293.9,"25,860",88
T53,T52,Angel Cabrera,51,293.8,"29,970",102
T53,T52,Paul Casey,47,293.8,"21,153",72
T53,T52,Branden Grace,39,293.8,"16,454",56
56,55,Seung-Yul Noh,66,293.7,"38,772",132
57,T56,Shane Lowry,43,293.6,"21,138",72
T58,59,Wes Roach,45,293.4,"26,402",90
T58,58,Brett Stegmaier,71,293.4,"41,374",141
60,60,Kevin Chappell,65,293.3,"35,779",122
61,61,Will Wilcox,59,293,"34,574",118
62,T62,Rhein Gibson,42,292.4,"24,562",84
T63,T69,Andres Gonzales,60,292.1,"35,049",120
T63,T64,Hunter Mahan,49,292.1,"26,293",90
T63,T64,Hideki Matsuyama,48,292.1,"22,787",78
T63,T62,Robert Streb,67,292.1,"32,421",111
67,68,Si Woo Kim,77,292,"44,673",153
